move_type,row,column,time_ms,cell_before,cell_after
select,2,2,13244,,
write,2,2,14089,,4
select,3,3,16540,,
write,3,3,17273,,4
select,4,2,20352,,
write,4,2,20992,,3
select,3,2,21994,,
write,3,2,22779,,2
select,1,2,26633,,
write,1,2,27440,,1
select,2,3,28911,,
write,2,3,29703,,1
select,1,3,31063,,
write,1,3,31639,,3
select,2,4,32206,,
write,2,4,32779,,2
select,2,1,33495,,
write,2,1,34084,,3
select,1,1,34692,,
write,1,1,35466,,2
select,1,1,35469,,
