move_type,row,column,time_ms,cell_before,cell_after
write,4,2,4843,,3
select,2,4,8327,,
write,2,4,10414,,1
select,1,1,18652,,
write,1,1,19556,,1
select,3,2,21236,,
write,3,2,21865,,1
select,2,1,24139,,
write,2,1,24792,,3
select,1,3,27327,,
write,1,3,28479,,3
select,2,3,29059,,
write,2,3,30231,,2
select,1,2,31062,,
write,1,2,31281,,2
select,2,2,32162,,
write,2,2,32649,,4
select,3,3,33163,,
write,3,3,34033,,4
select,3,3,34042,,
