move_type,row,column,time_ms,cell_before,cell_after
write,3,3,6915,,4
select,2,4,9602,,
write,2,4,11089,,1
select,4,2,19979,,
write,4,2,22685,,3
select,3,2,23773,,
write,3,2,28643,,1
select,2,4,40029,,
select,3,1,40723,,
select,2,4,53707,,
select,1,1,61652,,
write,1,1,62887,,1
select,2,1,63772,,
write,2,1,65558,,3
select,1,3,71985,,
write,1,3,73262,,3
select,2,3,78144,,
write,2,3,80624,,2
select,2,2,82067,,
write,2,2,83408,,4
select,1,2,84755,,
write,1,2,85847,,2
select,1,2,85851,,
