move_type,row,column,time_ms,cell_before,cell_after
write,3,3,3582,,4
select,2,2,4994,,
write,2,2,5618,,4
select,2,4,7362,,
write,2,4,8320,,1
select,1,2,11714,,
write,1,2,12740,,2
select,2,3,13383,,
write,2,3,14074,,2
select,1,3,15351,,
write,1,3,16543,,3
select,4,2,17986,,
write,4,2,18711,,3
select,2,1,19341,,
write,2,1,20529,,3
select,1,1,21039,,
write,1,1,21680,,1
select,3,2,22224,,
write,3,2,22681,,1
select,3,2,22689,,
