move_type,row,column,time_ms,cell_before,cell_after
select,3,3,11946,,
write,3,3,16758,,4
select,3,2,18945,,
write,3,2,19790,,2
select,4,2,20810,,
write,4,2,21918,,3
select,2,1,27017,,
select,2,4,29899,,
write,2,4,30639,,2
select,1,1,33168,,
write,1,1,34125,,2
select,2,2,40432,,
write,2,2,41944,,4
select,1,2,42785,,
write,1,2,43809,,1
select,2,3,44316,,
write,2,3,44978,,1
select,2,1,46635,,
write,2,1,50459,,3
select,1,3,50915,,
write,1,3,51610,,3
select,1,3,51621,,
