move_type,row,column,time_ms,cell_before,cell_after
write,3,3,3612,,4
select,4,2,6991,,
write,4,2,8194,,3
select,3,2,8586,,
write,3,2,9445,,1
select,2,4,10808,,
write,2,4,11530,,1
select,1,1,12757,,
write,1,1,13330,,1
select,2,1,17776,,
write,2,1,18582,,3
select,1,3,19476,,
write,1,3,20214,,3
select,2,3,20674,,
write,2,3,21532,,2
select,1,2,22041,,
write,1,2,23018,,2
select,2,2,23527,,
write,2,2,24270,,4
select,2,2,24279,,
