move_type,row,column,time_ms,cell_before,cell_after
write,3,3,10562,,4
select,3,2,13379,,
write,3,2,15334,,2
select,4,2,16650,,
write,4,2,17703,,3
select,2,2,23067,,
write,2,2,24465,,4
select,2,4,30008,,
write,2,4,31506,,2
select,1,1,34649,,
write,1,1,34880,,2
select,2,1,37907,,
write,2,1,38639,,3
select,1,3,39741,,
write,1,3,39937,,3
select,2,3,40991,,
write,2,3,41159,,1
select,1,2,42434,,
write,1,2,42635,,1
select,1,2,42663,,
