move_type,row,column,time_ms,cell_before,cell_after
write,3,2,6223,,1
select,4,2,7248,,
write,4,2,7910,,3
select,3,3,8602,,
write,3,3,9440,,4
select,2,2,13708,,
write,2,2,14336,,4
select,1,2,17069,,
write,1,2,17657,,2
select,2,4,21140,,
write,2,4,21888,,1
select,1,3,22847,,
write,1,3,23312,,3
select,2,3,23707,,
write,2,3,24314,,2
select,2,1,25094,,
write,2,1,25886,,3
select,1,1,26302,,
write,1,1,26623,,1
select,1,1,26629,,
