move_type,row,column,time_ms,cell_before,cell_after
write,3,3,4130,,4
select,4,2,5880,,
write,4,2,6767,,3
select,3,2,7573,,
write,3,2,8467,,2
select,2,4,16199,,
write,2,4,17339,,2
select,1,1,19855,,
write,1,1,20769,,2
select,2,1,23492,,
write,2,1,24372,,3
select,1,3,28252,,
write,1,3,28594,,3
select,2,3,30814,,
write,2,3,31315,,2
overwrite,2,3,33529,2,1
select,2,2,35894,,
select,1,2,36363,,
write,1,2,37382,,1
select,2,2,38787,,
write,2,2,39752,,4
select,2,2,39763,,
