move_type,row,column,time_ms,cell_before,cell_after
write,3,3,9627,,4
select,3,2,16500,,
write,3,2,17277,,2
select,2,4,20086,,
write,2,4,21214,,2
select,1,1,22275,,
write,1,1,22961,,2
select,2,2,25737,,
write,2,2,26690,,4
select,1,2,31614,,
write,1,2,32588,,1
select,2,3,33748,,
write,2,3,34997,,1
select,4,2,35833,,
write,4,2,36552,,3
select,2,1,36949,,
write,2,1,37492,,3
select,1,3,37966,,
write,1,3,38726,,3
select,1,3,38734,,
