move_type,row,column,time_ms,cell_before,cell_after
select,3,3,5362,,
write,3,3,6492,,4
select,2,2,12442,,
write,2,2,12676,,4
select,3,2,15606,,
write,3,2,16179,,1
select,2,4,20539,,
write,2,4,20742,,1
select,1,1,22447,,
write,1,1,22640,,1
select,1,2,24288,,
write,1,2,26873,,2
select,2,3,28251,,
write,2,3,28472,,2
select,1,3,29443,,
write,1,3,30157,,3
select,2,1,30785,,
write,2,1,31002,,3
select,4,2,31639,,
write,4,2,31813,,3
select,4,2,31827,,
